"Todo en todas partes al mismo tiempo","ciencia ficción/fantasía",2022,"Daniel Kwan, Daniel Scheinert",139,"Una mujer se ve envuelta en una batalla multiversal para salvar el mundo y su familia."
"Red","animación",2022,"Domee Shi",100,"Una adolescente se transforma en un panda rojo gigante cada vez que se emociona demasiado."
"Aftersun","drama",2022,"Charlotte Wells",101,"Una mujer recuerda unas vacaciones con su padre y reflexiona sobre su relación."
"Nope","ciencia ficción/fantasía",2022,"Jordan Peele",130,"Dos hermanos descubren algo misterioso en el cielo y tratan de capturarlo en cámara."
"Marcel the Shell with Shoes On","animación",2022,"Dean Fleischer Camp",90,"Un pequeño caracol con zapatos busca a su familia en el mundo humano."
"Los Fabelman","drama",2022,"Steven Spielberg",151,"Un joven apasionado por el cine encuentra inspiración en su familia y sus desafíos personales."
"El menú","comedia",2022,"Mark Mylod",107,"Una pareja asiste a una cena exclusiva en una isla remota, pero el chef tiene otros planes."
"Barbie","comedia",2023,"Greta Gerwig",114,"Barbie abandona Barbieland para descubrir el mundo real y su verdadero propósito."
"Oppenheimer","drama",2023,"Christopher Nolan",180,"La historia del físico J. Robert Oppenheimer y la creación de la bomba atómica."
"Nimona","animación",2023,"Nick Bruno, Troy Quane",101,"Una adolescente cambiaformas ayuda a un caballero acusado falsamente a limpiar su nombre."
"Elemental","animación",2023,"Peter Sohn",102,"En una ciudad donde conviven elementos, una chica fuego y un chico agua descubren lo que los une."
"Past Lives","drama",2023,"Celine Song",106,"Dos amigos de la infancia se reencuentran después de décadas, enfrentando sentimientos no resueltos."
"Air","drama",2023,"Ben Affleck",112,"La historia del acuerdo entre Nike y Michael Jordan que revolucionó el marketing deportivo."
"Poor Things","ciencia ficción/fantasía",2023,"Yorgos Lanthimos",141,"Una mujer resucitada vive una vida de descubrimiento y libertad en un mundo surrealista."
"Wish: El poder de los deseos","animación",2023,"Chris Buck, Fawn Veerasunthorn",95,"Una joven valiente enfrenta a un rey poderoso para salvar a su pueblo con la ayuda de una estrella mágica."
"Megamente contra la Liga del Mal","animación",2024,"Brent Simons",87,"Megamente debe enfrentarse a una nueva amenaza mientras intenta demostrar que puede ser un héroe."
"Memory","drama",2024,"Michel Franco",100,"Una mujer y un hombre con pasados dolorosos se conectan de forma inesperada."
"Mickey 17","ciencia ficción/fantasía",2024,"Bong Joon-ho",115,"Un trabajador desechable en una colonia espacial descubre su reemplazo y lucha por su identidad."
"Inside Out 2","animación",2024,"Kelsey Mann",98,"Riley entra en la adolescencia y nuevas emociones se suman al equipo de control."
"Future Perfect","ciencia ficción/fantasía",2025,"Alex Garland",125,"Una científica desarrolla una IA que predice eventos futuros, desatando dilemas éticos y personales."
